Month,Days,Fajr,Dhuhr,Asr,Maghrib,Isha
Jan,1,05:31,12:21,15:51,17:27,18:57
,11,05:31,12:25,15:57,17:34,19:04
,21,05:30,12:27,16:01,17:43,19:13
Feb,1,05:27,12:28,16:04,17:50,19:20
,11,05:21,12:28,16:05,17:56,19:26
,21,05:14,12:27,16:06,17:59,19:29
Mar,1,05:07,12:26,16:07,18:03,19:33
,11,04:57,12:24,16:07,18:10,19:40
,21,04:47,12:21,16:07,18:15,19:45
Apr,1,04:36,12:18,16:06,18:19,19:49
,11,04:26,12:15,16:04,18:24,19:54
,21,04:16,12:12,16:05,18:29,19:59
May,1,04:08,12:11,16:07,18:33,20:03
,11,04:02,12:10,16:08,18:39,20:09
,21,03:57,12:11,16:10,18:44,20:14
Jun,1,03:54,12:13,16:13,18:48,20:18
,11,03:55,12:15,16:16,18:51,20:21
,21,03:57,12:17,16:17,18:53,20:23
Jul,1,04:01,12:19,16:19,18:53,20:23
,11,04:06,12:20,16:20,18:52,20:22
,21,04:11,12:20,16:20,18:49,20:19
Aug,1,04:15,12:20,16:18,18:44,20:14
,11,04:20,12:19,16:15,18:37,20:07
,21,04:24,12:17,16:10,18:29,19:59
Sep,1,04:28,12:14,16:05,18:18,19:48
,11,04:32,12:10,16:00,18:08,19:38
,21,04:36,12:06,15:54,17:57,19:27
Oct,1,04:40,12:03,15:49,17:46,19:16
,11,04:45,12:00,15:41,17:36,19:06
,21,04:51,11:58,15:38,17:26,18:56
Nov,1,04:57,11:58,15:36,17:18,18:48
,11,05:03,11:59,15:33,17:13,18:43
,21,05:12,12:02,15:34,17:10,18:40
Dec,1,05:18,12:06,15:37,17:10,18:40
,11,05:24,12:11,15:40,17:14,18:44
,21,05:29,12:17,15:46,17:20,18:50
